system,t_s,availability_pct_mean,under_attack
traditional_firewall,42.0,86.28205128205128,False
traditional_firewall,45.0,86.53846153846153,False
traditional_firewall,48.0,87.37179487179488,False
traditional_firewall,51.0,87.43589743589743,False
traditional_firewall,54.0,87.24358974358974,False
traditional_firewall,57.0,87.24358974358975,False
traditional_firewall,60.0,77.75641025641025,True
traditional_firewall,63.0,78.3974358974359,True
traditional_firewall,66.0,77.75641025641025,True
traditional_firewall,69.0,77.43589743589743,True
traditional_firewall,72.0,77.62820512820512,True
traditional_firewall,75.0,77.88461538461539,True
traditional_firewall,78.0,77.6923076923077,True
traditional_firewall,81.0,77.82051282051282,True
traditional_firewall,84.0,77.43589743589743,True
traditional_firewall,87.0,77.88461538461539,True
traditional_firewall,90.0,77.37179487179488,True
traditional_firewall,93.0,77.6923076923077,True
traditional_firewall,96.0,77.82051282051282,True
traditional_firewall,99.0,77.75641025641026,True
traditional_firewall,102.0,78.91025641025641,True
traditional_firewall,105.0,77.82051282051282,True
traditional_firewall,108.0,77.88461538461539,True
traditional_firewall,111.0,76.6025641025641,True
traditional_firewall,114.0,78.2051282051282,True
traditional_firewall,117.0,76.92307692307692,True
traditional_firewall,120.0,77.88461538461539,True
traditional_firewall,123.0,78.3974358974359,True
traditional_firewall,126.0,77.05128205128204,True
traditional_firewall,129.0,77.5,True
traditional_firewall,132.0,76.34615384615385,True
traditional_firewall,135.0,76.73076923076923,True
traditional_firewall,138.0,77.37179487179488,True
traditional_firewall,141.0,77.6923076923077,True
traditional_firewall,144.0,76.73076923076923,True
traditional_firewall,147.0,77.17948717948718,True
traditional_firewall,150.0,77.11538461538461,True
traditional_firewall,153.0,79.03846153846153,True
traditional_firewall,156.0,77.6923076923077,True
traditional_firewall,159.0,76.92307692307692,True
traditional_firewall,162.0,78.2051282051282,True
traditional_firewall,165.0,78.26923076923077,True
traditional_firewall,168.0,75.96153846153847,True
traditional_firewall,171.0,77.56410256410257,True
traditional_firewall,174.0,77.24358974358974,True
traditional_firewall,177.0,76.92307692307692,True
traditional_firewall,180.0,87.37179487179488,False
traditional_firewall,183.0,87.5,False
traditional_firewall,186.0,86.6025641025641,False
traditional_firewall,189.0,87.62820512820512,False
traditional_firewall,192.0,87.11538461538461,False
traditional_firewall,195.0,86.66666666666667,False
traditional_firewall,198.0,87.24358974358975,False
traditional_firewall,201.0,88.14102564102564,False
traditional_firewall,204.0,86.6025641025641,False
traditional_firewall,207.0,88.46153846153847,False
traditional_firewall,210.0,87.24358974358975,False
traditional_firewall,213.0,88.26923076923077,False
traditional_firewall,216.0,87.6923076923077,False
traditional_firewall,219.0,87.3076923076923,False
traditional_firewall,222.0,88.07692307692308,False
traditional_firewall,225.0,86.53846153846153,False
traditional_firewall,228.0,87.17948717948718,False
traditional_firewall,231.0,87.88461538461539,False
traditional_firewall,234.0,86.47435897435898,False
traditional_firewall,237.0,87.43589743589743,False
traditional_firewall,240.0,87.5,False
traditional_firewall,243.0,86.66666666666667,False
traditional_firewall,246.0,87.88461538461539,False
traditional_firewall,249.0,86.34615384615384,False
traditional_firewall,252.0,87.11538461538461,False
traditional_firewall,255.0,87.24358974358975,False
traditional_firewall,258.0,87.17948717948718,False
traditional_firewall,261.0,86.08974358974359,False
traditional_firewall,264.0,85.76923076923077,False
traditional_firewall,267.0,86.53846153846153,False
traditional_firewall,270.0,86.02564102564102,False
traditional_firewall,273.0,87.94871794871796,False
traditional_firewall,276.0,87.17948717948718,False
traditional_firewall,279.0,87.05128205128206,False
traditional_firewall,282.0,86.98717948717949,False
traditional_firewall,285.0,87.82051282051282,False
traditional_firewall,288.0,86.85897435897436,False
traditional_firewall,291.0,88.14102564102564,False
traditional_firewall,294.0,85.7051282051282,False
traditional_firewall,297.0,87.62820512820512,False
ids_ips,0.0,91.98717948717949,False
ids_ips,3.0,92.05128205128204,False
ids_ips,6.0,90.8974358974359,False
ids_ips,9.0,91.6025641025641,False
ids_ips,12.0,90.96153846153845,False
ids_ips,15.0,91.73076923076923,False
ids_ips,18.0,92.11538461538461,False
ids_ips,21.0,91.08974358974359,False
ids_ips,24.0,91.08974358974359,False
ids_ips,27.0,91.47435897435898,False
ids_ips,30.0,91.7948717948718,False
ids_ips,33.0,91.34615384615384,False
ids_ips,36.0,91.28205128205128,False
ids_ips,39.0,91.92307692307692,False
