trial,system,seed,cr_pct,tresp_s,fpr_pct,fcr_pct,na_pct,tresp_std_s,tresp_n,na_min_pct,n_flow_obs,n_attack_obs,n_benign_obs,n_rules_total,peak_concurrent_rules,controller_load_final,moop_utility
0,proposed_dynamic_sdn,42,95.5246913580247,2.4642365380413875,0.405,0.34,99.63461538461539,0.9238744921874599,12380,98.07692307692308,32960,12960,20000,2651,70,0.5638,0.5239679962013296
1,proposed_dynamic_sdn,43,95.74845679012346,2.457923559716663,0.36,0.26,99.67307692307692,0.920370632843487,12409,98.71794871794872,32960,12960,20000,2644,69,0.55926,0.5256339810066476
2,proposed_dynamic_sdn,44,95.64043209876543,2.4626423100715202,0.36,0.305,99.66025641025641,0.921989907286372,12395,98.71794871794872,32960,12960,20000,2638,68,0.55472,0.5254952412155747
3,proposed_dynamic_sdn,45,95.60185185185185,2.4823475916152917,0.385,0.31,99.64102564102564,0.9191117725519238,12390,98.71794871794872,32960,12960,20000,2643,70,0.5638,0.5243794586894587
4,proposed_dynamic_sdn,46,95.47839506172839,2.4705967954498487,0.355,0.29,99.63461538461539,0.9263462189032263,12374,98.07692307692308,32960,12960,20000,2662,70,0.5638,0.5239328110161444
5,proposed_dynamic_sdn,47,95.5324074074074,2.4754326349184956,0.41,0.32,99.64102564102564,0.9200344832980004,12381,98.71794871794872,32960,12960,20000,2664,71,0.56834,0.5236176809116808
6,proposed_dynamic_sdn,48,95.2854938271605,2.4638522444017745,0.34,0.28,99.64102564102564,0.9257143589251718,12349,98.71794871794872,32960,12960,20000,2636,70,0.5638,0.5232040265906933
7,proposed_dynamic_sdn,49,95.42438271604938,2.458235662404999,0.4,0.325,99.64102564102564,0.9266572368560467,12367,98.71794871794872,32960,12960,20000,2675,74,0.58196,0.5218085821462488
8,proposed_dynamic_sdn,50,95.64043209876543,2.4531381393307403,0.37,0.285,99.65384615384616,0.9246412436428206,12395,98.71794871794872,32960,12960,20000,2612,69,0.55926,0.5250884207027541
9,proposed_dynamic_sdn,51,95.84876543209876,2.4725396167175258,0.45,0.365,99.68589743589743,0.9183298628434121,12422,98.71794871794872,32960,12960,20000,2658,70,0.5638,0.52529185660019
0,traditional_firewall,42,63.47993827160494,44.99860299658,12.18,12.18,83.41025641025641,1.3573494626306102,8227,73.07692307692308,32960,12960,20000,0,0,0.246,0.3596002659069326
1,traditional_firewall,43,63.81944444444444,45.007542914585684,12.265,12.265,83.1474358974359,1.3501429829082463,8271,72.43589743589743,32960,12960,20000,0,0,0.246,0.3601776495726496
2,traditional_firewall,44,63.22530864197531,44.97606797936502,11.935,11.935,83.11538461538461,1.3682170234375415,8194,73.07692307692308,32960,12960,20000,0,0,0.246,0.35872700379867045
3,traditional_firewall,45,63.148148148148145,44.99383621196157,11.695,11.695,83.5576923076923,1.3476079603084365,8184,73.71794871794872,32960,12960,20000,0,0,0.246,0.3600229772079772
4,traditional_firewall,46,63.495370370370374,45.011424701140854,11.915,11.915,83.17307692307692,1.3370866764557716,8229,74.35897435897436,32960,12960,20000,0,0,0.246,0.35998263532763536
5,traditional_firewall,47,63.04783950617284,44.9844259113455,12.125,12.125,83.26923076923077,1.352770415893977,8171,72.43589743589743,32960,12960,20000,0,0,0.246,0.35775481956315297
6,traditional_firewall,48,63.51851851851852,44.98417757311994,11.555,11.555,83.6025641025641,1.3501464629166582,8232,73.71794871794872,32960,12960,20000,0,0,0.246,0.3620142022792023
7,traditional_firewall,49,63.858024691358025,44.98989790966228,11.775,11.775,83.62179487179488,1.3359517684365207,8276,71.15384615384616,32960,12960,20000,0,0,0.246,0.36275068850902187
8,traditional_firewall,50,63.58024691358025,44.97059440912983,12.315,12.315,82.94871794871796,1.343004049653464,8240,69.23076923076923,32960,12960,20000,0,0,0.246,0.35867342355175696
9,traditional_firewall,51,63.1712962962963,44.99313394809418,12.275,12.275,83.01282051282051,1.3401954738858812,8187,71.15384615384616,32960,12960,20000,0,0,0.246,0.3572858262108262
0,ids_ips,42,69.8996913580247,29.994529667763384,7.82,7.82,88.49358974358974,0.9053091402404091,9059,80.12820512820512,32960,12960,20000,0,0,0.246,0.40852594491927824
1,ids_ips,43,70.24691358024691,29.98738307908973,7.515,7.515,88.75,0.8919363691068636,9104,81.41025641025641,32960,12960,20000,0,0,0.246,0.41134265432098766
2,ids_ips,44,70.0925925925926,29.997021195182445,7.735,7.735,88.48717948717949,0.9130540082957654,9084,80.12820512820512,32960,12960,20000,0,0,0.246,0.4095397293447294
3,ids_ips,45,70.30864197530865,29.99222978998873,7.635,7.635,88.57692307692308,0.8956401316189126,9112,80.76923076923077,32960,12960,20000,0,0,0.246,0.4108834140550808
4,ids_ips,46,70.16203703703704,30.0029062964932,7.435,7.435,88.8076923076923,0.8971828220706832,9093,80.76923076923077,32960,12960,20000,0,0,0.246,0.41135853276353274
5,ids_ips,47,70.30092592592592,29.99845833726724,7.455,7.455,88.91025641025641,0.8972062982061668,9111,81.41025641025641,32960,12960,20000,0,0,0.246,0.4120592165242165
6,ids_ips,48,70.37037037037037,30.01164899116315,7.55,7.55,88.81410256410257,0.9006275188828261,9120,79.48717948717949,32960,12960,20000,0,0,0.246,0.41185968660968664
7,ids_ips,49,70.35493827160494,30.02183842327589,7.57,7.57,88.76282051282051,0.9081755986713245,9118,79.48717948717949,32960,12960,20000,0,0,0.246,0.4116353941120608
8,ids_ips,50,70.04629629629629,29.99620597220686,7.295,7.295,89.10897435897436,0.8884109593898152,9078,77.56410256410257,32960,12960,20000,0,0,0.246,0.411918133903134
9,ids_ips,51,70.13888888888889,30.01019804080198,7.51,7.51,88.83974358974359,0.8984476034755569,9090,80.12820512820512,32960,12960,20000,0,0,0.246,0.4111050427350427
0,static_sdn,42,86.99074074074075,15.000206586311917,0.375,0.375,98.62179487179488,0.44929229387456077,11274,96.15384615384616,32960,12960,20000,2632,68,0.55472,0.48860955270655276
1,static_sdn,43,87.22993827160494,15.003261145918483,0.405,0.405,98.6025641025641,0.4543334952727691,11305,95.51282051282051,32960,12960,20000,2630,69,0.55926,0.4889838812915479
2,static_sdn,44,86.7824074074074,15.000190508133866,0.335,0.335,98.62820512820512,0.449778712428604,11247,95.51282051282051,32960,12960,20000,2654,71,0.56834,0.4865470398860399
3,static_sdn,45,86.93672839506173,15.001523484822357,0.45,0.45,98.51923076923077,0.45309151967987976,11267,96.15384615384616,32960,12960,20000,2638,69,0.55926,0.4875093751187084
4,static_sdn,46,87.13734567901234,14.996668707801412,0.415,0.415,98.57051282051282,0.45112357676829307,11293,96.15384615384616,32960,12960,20000,2640,69,0.55926,0.4885194083570751
5,static_sdn,47,86.91358024691358,14.998955844625803,0.445,0.445,98.51282051282051,0.44936425437975547,11264,96.15384615384616,32960,12960,20000,2651,70,0.5638,0.4869649620132954
6,static_sdn,48,86.89814814814815,15.004557514492182,0.38,0.38,98.59615384615385,0.4528134065370423,11262,95.51282051282051,32960,12960,20000,2631,72,0.5728800000000001,0.4863569002849004
7,static_sdn,49,86.49691358024691,15.00067110029664,0.455,0.455,98.4551282051282,0.44774683834589324,11210,95.51282051282051,32960,12960,20000,2645,70,0.5638,0.4851529107312441
8,static_sdn,50,86.90586419753086,15.009064065520358,0.385,0.385,98.6025641025641,0.44850493996524204,11263,95.51282051282051,32960,12960,20000,2623,70,0.5638,0.48729358499525166
9,static_sdn,51,87.03703703703704,14.99818538401737,0.45,0.45,98.53205128205128,0.4482698596215611,11280,95.51282051282051,32960,12960,20000,2671,70,0.5638,0.4874822507122507
