system,trial,na_pct,na_min_pct
proposed_dynamic_sdn,0,99.63461538461539,98.07692307692308
proposed_dynamic_sdn,1,99.67307692307692,98.71794871794872
proposed_dynamic_sdn,2,99.66025641025641,98.71794871794872
proposed_dynamic_sdn,3,99.64102564102564,98.71794871794872
proposed_dynamic_sdn,4,99.63461538461539,98.07692307692308
proposed_dynamic_sdn,5,99.64102564102564,98.71794871794872
proposed_dynamic_sdn,6,99.64102564102564,98.71794871794872
proposed_dynamic_sdn,7,99.64102564102564,98.71794871794872
proposed_dynamic_sdn,8,99.65384615384616,98.71794871794872
proposed_dynamic_sdn,9,99.68589743589743,98.71794871794872
traditional_firewall,0,83.41025641025641,73.07692307692308
traditional_firewall,1,83.1474358974359,72.43589743589743
traditional_firewall,2,83.11538461538461,73.07692307692308
traditional_firewall,3,83.5576923076923,73.71794871794872
traditional_firewall,4,83.17307692307692,74.35897435897436
traditional_firewall,5,83.26923076923077,72.43589743589743
traditional_firewall,6,83.6025641025641,73.71794871794872
traditional_firewall,7,83.62179487179488,71.15384615384616
traditional_firewall,8,82.94871794871796,69.23076923076923
traditional_firewall,9,83.01282051282051,71.15384615384616
ids_ips,0,88.49358974358974,80.12820512820512
ids_ips,1,88.75,81.41025641025641
ids_ips,2,88.48717948717949,80.12820512820512
ids_ips,3,88.57692307692308,80.76923076923077
ids_ips,4,88.8076923076923,80.76923076923077
ids_ips,5,88.91025641025641,81.41025641025641
ids_ips,6,88.81410256410257,79.48717948717949
ids_ips,7,88.76282051282051,79.48717948717949
ids_ips,8,89.10897435897436,77.56410256410257
ids_ips,9,88.83974358974359,80.12820512820512
static_sdn,0,98.62179487179488,96.15384615384616
static_sdn,1,98.6025641025641,95.51282051282051
static_sdn,2,98.62820512820512,95.51282051282051
static_sdn,3,98.51923076923077,96.15384615384616
static_sdn,4,98.57051282051282,96.15384615384616
static_sdn,5,98.51282051282051,96.15384615384616
static_sdn,6,98.59615384615385,95.51282051282051
static_sdn,7,98.4551282051282,95.51282051282051
static_sdn,8,98.6025641025641,95.51282051282051
static_sdn,9,98.53205128205128,95.51282051282051
