system,attack_vector,cr_mean,cr_std
proposed_dynamic_sdn,horizontal_probe,100.0,0.0
proposed_dynamic_sdn,http_flood,95.83333333333333,1.0514540197058337
proposed_dynamic_sdn,icmp_flood,96.34444444444445,0.45188220905917303
proposed_dynamic_sdn,mixed_ddos,96.09027777777777,0.4881406047441684
proposed_dynamic_sdn,slowloris,96.16666666666667,0.6070334285138967
proposed_dynamic_sdn,syn_flood,96.41666666666667,0.22214426070092097
proposed_dynamic_sdn,udp_flood,96.26666666666667,0.25429641497014394
traditional_firewall,horizontal_probe,0.0,0.0
traditional_firewall,http_flood,0.0,0.0
traditional_firewall,icmp_flood,93.17777777777778,0.35642255405212275
traditional_firewall,mixed_ddos,78.04166666666667,0.9535913274317719
traditional_firewall,slowloris,0.0,0.0
traditional_firewall,syn_flood,89.90238095238095,0.40314101222396154
traditional_firewall,udp_flood,90.36333333333333,0.5164945950023745
ids_ips,horizontal_probe,0.0,0.0
ids_ips,http_flood,0.0,0.0
ids_ips,icmp_flood,97.38888888888889,0.4634811914358697
ids_ips,mixed_ddos,93.96527777777777,0.7279752170690064
ids_ips,slowloris,0.0,0.0
ids_ips,syn_flood,97.63333333333333,0.24907993963089606
ids_ips,udp_flood,96.57,0.254055986830549
static_sdn,horizontal_probe,0.0,0.0
static_sdn,http_flood,91.06666666666666,0.9043106644167026
static_sdn,icmp_flood,91.98333333333333,0.705817973946314
static_sdn,mixed_ddos,91.81944444444444,0.9321089853090275
static_sdn,slowloris,91.61458333333333,0.4779195727897715
static_sdn,syn_flood,91.97619047619048,0.2636306768698351
static_sdn,udp_flood,92.01333333333334,0.3798245208865097
