system,trial,tresp_s,tresp_std_s,tresp_n,tresp_BLOCK,tresp_RATE_LIMIT,tresp_QUARANTINE
proposed_dynamic_sdn,0,2.2681239121883094,0.898495292837011,12512,2.0962036195973908,2.526474342468668,2.2568295311204194
proposed_dynamic_sdn,1,2.26931270440067,0.9086306944523255,12527,2.0938306760283254,2.5376018048902846,2.262008928763056
proposed_dynamic_sdn,2,2.2825104548286874,0.9069332250192047,12525,2.1050900630971996,2.5453197263911487,2.276908458198756
proposed_dynamic_sdn,3,2.2837378261855434,0.9007042862181139,12505,2.1110960872055458,2.5406397588553395,2.269233888679649
proposed_dynamic_sdn,4,2.2661672599692078,0.8950206623850682,12527,2.089846865744845,2.5299945032599345,2.26644034631826
proposed_dynamic_sdn,5,2.265813268383729,0.9018821311238314,12519,2.0803193912574116,2.5475068181084675,2.2568761380705746
proposed_dynamic_sdn,6,2.2520869431648496,0.8973169076677285,12467,2.0679801323823397,2.5248232936926445,2.268595404515338
proposed_dynamic_sdn,7,2.2709431851966078,0.9014904486467439,12516,2.093971326944694,2.528883432950455,2.2747185904066214
proposed_dynamic_sdn,8,2.273921361364539,0.8970491370903229,12520,2.089938847428771,2.5439348065546667,2.293450930047871
proposed_dynamic_sdn,9,2.2751008891847224,0.9061621317773604,12518,2.0791993746996016,2.571783883125293,2.2769477988400313
traditional_firewall,0,44.989445556666816,1.348554766804071,9259,44.989445556666816,,
traditional_firewall,1,45.01779658246306,1.346662115531919,9267,45.01779658246306,,
traditional_firewall,2,44.979430806829406,1.3526983818022094,9288,44.979430806829406,,
traditional_firewall,3,45.009438772098044,1.3470467723017054,9289,45.009438772098044,,
traditional_firewall,4,45.02369989896208,1.3666987046210153,9305,45.02369989896208,,
traditional_firewall,5,44.976955652425225,1.3570579872555326,9249,44.976955652425225,,
traditional_firewall,6,44.99576185401987,1.3463644768355238,9279,44.99576185401987,,
traditional_firewall,7,44.995476180840534,1.3627586517718733,9320,44.995476180840534,,
traditional_firewall,8,44.996438003344934,1.3334218159854576,9318,44.996438003344934,,
traditional_firewall,9,44.999130098711646,1.3317502877126066,9304,44.999130098711646,,
ids_ips,0,30.007929494197214,0.894399251706506,10097,30.007929494197214,,
ids_ips,1,30.016003323785583,0.9078395779950251,10092,30.016003323785583,,
ids_ips,2,29.995308848081795,0.9162372054467716,10123,29.995308848081795,,
ids_ips,3,30.0085521712267,0.9015633516314189,10098,30.0085521712267,,
ids_ips,4,29.997382259333698,0.9023514062649269,10120,29.997382259333698,,
ids_ips,5,30.002731495462058,0.9042889852966955,10080,30.002731495462058,,
ids_ips,6,29.99033164690626,0.9021779575514278,10101,29.99033164690626,,
ids_ips,7,30.002302339336513,0.8958365361368528,10090,30.002302339336513,,
ids_ips,8,29.989054274377068,0.8885044623561519,10139,29.989054274377068,,
ids_ips,9,29.99727631334531,0.8903960728249384,10098,29.99727631334531,,
static_sdn,0,15.000732917511623,0.4507413290662359,11028,15.000732917511623,,
static_sdn,1,14.99631365176137,0.448769466179492,11031,14.99631365176137,,
static_sdn,2,15.000962740573925,0.45201665588276385,11041,15.000962740573925,,
static_sdn,3,14.999158249616377,0.4525488105942732,11011,14.999158249616377,,
static_sdn,4,15.004844771123494,0.45174225423618786,11026,15.004844771123494,,
static_sdn,5,15.001125116211607,0.4499971685201963,11072,15.001125116211607,,
static_sdn,6,15.015069727996114,0.4495193262212153,11039,15.015069727996114,,
static_sdn,7,15.005703453471693,0.4481276483959898,10985,15.005703453471693,,
static_sdn,8,15.001313604839096,0.44810457799655756,11012,15.001313604839096,,
static_sdn,9,15.002685806868108,0.4503204013146848,11027,15.002685806868108,,
