feature,importance_reproduced,importance_paper,abs_diff
pps,0.27317389812174175,0.425,0.15182610187825824
bps,0.2994921568531329,0.31,0.01050784314686709
duration,0.19218210033423874,0.142,0.050182100334238755
tcp_ratio,0.06850363396748256,0.065,0.0035036339674825584
udp_ratio,0.12727948137054992,0.038,0.08927948137054992
icmp_ratio,0.03936872935285424,0.02,0.019368729352854237
