system,trial,na_pct,na_min_pct
proposed_dynamic_sdn,0,98.28846153846153,94.23076923076923
proposed_dynamic_sdn,1,98.4423076923077,96.15384615384616
proposed_dynamic_sdn,2,98.37179487179488,95.51282051282051
proposed_dynamic_sdn,3,98.41025641025641,96.15384615384616
proposed_dynamic_sdn,4,98.19871794871796,95.51282051282051
proposed_dynamic_sdn,5,98.28846153846153,95.51282051282051
proposed_dynamic_sdn,6,98.26923076923077,96.15384615384616
proposed_dynamic_sdn,7,98.17948717948718,94.87179487179488
proposed_dynamic_sdn,8,98.2948717948718,94.87179487179488
proposed_dynamic_sdn,9,98.4551282051282,95.51282051282051
traditional_firewall,0,87.90384615384616,82.05128205128206
traditional_firewall,1,87.81410256410257,81.41025641025641
traditional_firewall,2,87.82692307692308,82.05128205128206
traditional_firewall,3,88.36538461538461,80.76923076923077
traditional_firewall,4,88.0,83.33333333333333
traditional_firewall,5,88.14102564102564,80.76923076923077
traditional_firewall,6,88.41025641025641,82.05128205128206
traditional_firewall,7,87.74358974358974,80.76923076923077
traditional_firewall,8,87.78846153846153,81.41025641025641
traditional_firewall,9,88.08974358974359,82.6923076923077
ids_ips,0,92.01923076923077,87.82051282051282
ids_ips,1,91.41666666666667,85.25641025641026
ids_ips,2,91.58333333333333,87.17948717948718
ids_ips,3,91.96794871794872,85.8974358974359
ids_ips,4,91.98076923076923,87.17948717948718
ids_ips,5,91.98076923076923,85.25641025641026
ids_ips,6,91.57051282051282,85.8974358974359
ids_ips,7,91.8525641025641,86.53846153846153
ids_ips,8,91.58333333333333,85.25641025641026
ids_ips,9,91.58333333333333,85.25641025641026
static_sdn,0,94.38461538461539,87.82051282051282
static_sdn,1,94.40384615384616,91.02564102564102
static_sdn,2,94.35897435897436,91.02564102564102
static_sdn,3,94.48717948717949,90.38461538461539
static_sdn,4,94.48076923076923,91.66666666666667
static_sdn,5,94.80128205128206,89.74358974358974
static_sdn,6,93.9551282051282,89.74358974358974
static_sdn,7,94.33974358974359,89.74358974358974
static_sdn,8,94.19871794871796,90.38461538461539
static_sdn,9,94.43589743589743,89.1025641025641
